9504	2778	
5231	8173	
2622	2083	
3031	2571	
9516	5615	
4397	6568	
5717	7725	
5109	2388	
7629	8934	
1348	745	
1447	7774	
3015	1399	
3603	8921	
1200	6221	
8337	346	
7071	676	
6727	3991	
4729	4757	
9082	8856	
2775	235	
6348	8863	
1149	4003	
9651	8449	
5525	9888	
610	2370	
2903	9595	
1398	9407	
3480	903	
2495	7509	
8269	4834	
5449	4351	
2794	9352	
6998	7388	
6331	1090	
6970	1423	
1421	4540	
1746	96	
650	3651	
4577	176	
576	5965	
3049	570	
6365	5395	
8002	8420	
953	4233	
2491	5397	
8352	7103	
2010	5632	
9131	7904	
6753	4751	
4185	2663	
3679	3643	
3103	9473	
2080	2231	
1177	8941	
6611	1837	
5292	5792	
7030	5552	
9402	2710	
6399	9025	
8144	419	
9177	9020	
7599	1207	
7817	1026	
181	8063	
621	738	
376	520	
6896	8305	
2559	415	
8284	9081	
4157	3700	
748	6429	
1867	45	
8829	2106	
1687	8913	
3096	8879	
8087	3807	
5664	1246	
3518	506	
1945	9294	
5339	9420	
859	748	
7722	5567	
9828	515	
1402	1929	
2216	5371	
6652	1329	
2451	802	
9208	9378	
4266	9589	
8570	3691	
7360	5548	
4857	6768	
8260	2111	
1352	6032	
6200	9145	
8582	8484	
8956	3560	
3952	6321	
7737	5181	
3046	794	
7274	4374	
9770	8742	
4404	2613	
3172	2185	
4806	461	
2819	641	
9675	4521	
5599	6992	
1484	2825	
5082	5232	
8979	2361	
8597	9880	
3339	2672	
9662	6074	
6627	1458	
9286	4678	
7185	6802	
9473	2302	
9571	7352	
535	9031	
7920	1179	
8071	4345	
7069	187	
1371	7923	
156	5357	
5767	302	
2783	5332	
8171	2252	
6074	6392	
9304	9005	
551	6262	
1151	4334	
9314	5716	
5333	3966	
4805	9167	
6707	7582	
8702	67	
8761	6965	
2875	1430	
3459	9293	
5288	5233	
6739	8430	
2864	9036	
1022	2804	
799	9093	
1267	8911	
2824	7901	
3941	7015	
9522	1359	
810	922	
5133	558	
1853	3140	
9459	266	
1406	1786	
6553	6718	
9976	4643	
548	7641	
2595	7923	
8921	3063	
8640	1364	
173	7419	
4322	1332	
4027	6987	
3180	9606	
8372	9144	
1493	8069	
5888	5321	
8456	4188	
6338	4691	
4376	3099	
730	9879	
2161	9239	
2852	4568	
9306	7969	
2302	7463	
4166	7537	
5495	3853	
1999	1779	
9636	3992	
2125	2379	
5794	2537	
4916	2193	
2003	2362	
6538	4689	
6434	573	
4957	4579	
3541	8641	
3615	5132	
66	3628	
9006	7700	
3329	3220	
4526	4899	
9599	8765	
1413	7765	
2203	4780	
6002	8349	
9378	3610	
475	1029	
5234	6277	
1410	9315	
5740	2928	
3444	8183	
5019	3035	
5742	5937	
4908	3629	
9420	3871	
6617	4589	
3215	6660	
1862	3921	
4793	9236	
1014	5149	
7304	2748	
7498	5053	
813	4303	
7560	8382	
7385	6987	
4181	7526	
643	3931	
943	8596	
3416	5797	
7481	7570	
3935	7090	
1635	9639	
9400	958	
5029	9273	
6400	3301	
1775	1091	
2414	5601	
4933	3663	
852	3627	
7177	1825	
5743	7296	
9554	6591	
6322	8659	
4416	9745	
6781	2189	
1198	5372	
930	5075	
1572	8445	
277	8272	
6281	4638	
7452	484	
4054	9784	
9222	6264	
7446	3797	
5800	6749	
6025	6304	
4674	6193	
8460	7856	
3805	434	
4382	4221	
8813	9749	
9159	1474	
6876	9769	
8626	3100	
5852	1494	
9767	8284	
2863	2165	
5481	2568	
1318	2212	
7474	7086	
531	979	
8537	376	
316	4828	
2189	5099	
4655	5904	
5969	9865	
9116	4716	
2980	8855	
820	3978	
8251	2345	
3148	6131	
5918	6585	
2798	4914	
6172	1351	
5884	9380	
9291	1114	
2881	4908	
4800	9429	
9302	5075	
4999	1893	
1566	4764	
1280	7206	
4671	6261	
2822	1524	
5597	8170	
8637	8975	
2565	8660	
9496	2377	
5651	8223	
7780	9049	
6064	3049	
804	6514	
8715	2069	
4393	7533	
8579	7360	
6830	2498	
9806	9067	
1918	7286	
4505	406	
5106	4958	
2781	6958	
9227	3186	
1514	4894	
7288	6189	
371	1521	
101	6529	
437	2135	
1808	8775	
5061	1701	
3513	2788	
3237	8967	
4293	2135	
1811	2017	
8655	6686	
7615	7267	
1436	7689	
8102	4378	
3849	6054	
399	7299	
1779	3259	
9394	9371	
1283	9843	
5200	6034	
5844	4895	
7555	1231	
354	9406	
4707	9996	
3681	23	
2017	1761	
7799	5987	
1780	5006	
8743	8	
9629	5234	
8299	7119	
1609	8185	
6301	2887	
7316	9235	
9842	1171	
3124	8671	
4835	1598	
2985	8374	
3274	847	
2046	8836	
2838	3479	
2060	7632	
4378	5943	
5228	4845	
7336	1759	
5479	3402	
2709	1361	
4044	3988	
2793	1652	
2732	9755	
2518	7445	
2502	7217	
7955	3559	
9578	8399	
5588	7163	
7932	9778	
6551	6395	
8423	6066	
2765	4016	
5676	836	
8930	7267	
438	3509	
