AIRCRAFTS.aid  AIRCRAFTS.aname  AIRCRAFTS.cruisingrange  SCHEDULE.flno  SCHEDULE.aid  
506	uythxpehac	2444	3518	506	
2663	nicaujnmee	181	4185	2663	
7582	uuoomjwhby	2949	6707	7582	
302	hazarkvwkk	2965	5767	302	
9020	eqntleyjjd	1157	9177	9020	
5552	syffyvwkxn	674	7030	5552	
1786	cewcwtcoxy	1645	1406	1786	
515	btzxwvuyuv	2393	9828	515	
3966	ezxihcxtdm	2182	5333	3966	
8449	fvcruulnjm	1843	9651	8449	
7509	kitmzjbxtb	2092	2495	7509	
558	epedwzgwbm	2885	5133	558	
1430	rnujernxnh	1043	2875	1430	
1399	byjhyrosqb	292	3015	1399	
235	wlspefnwfm	2309	2775	235	
5965	jwyvmbbrak	1087	576	5965	
5716	mxyinxotny	417	9314	5716	
7774	uzdtkuukzx	2235	1447	7774	
3140	rhgocxvkpn	1604	1853	3140	
9473	bpozmdfbog	2227	3103	9473	
9595	oiivagedxd	1091	2903	9595	
8856	vpxdvhigii	1980	9082	8856	
461	qpryuewqwl	2546	4806	461	
7923	wcgytbmama	2136	1371	7923	
8484	wfvzeqcasy	1720	8582	8484	
903	txvodangbe	2354	3480	903	
6802	aanhqhyixl	2058	7185	6802	
6429	ovpubdfdvn	1185	748	6429	
2111	tiuxsgecok	1006	8260	2111	
2571	vblsjkzfll	2415	3031	2571	
4521	rfyyawzspr	1032	9675	4521	
794	kadlzizrta	2617	3046	794	
922	xzbxguzjdt	1608	810	922	
570	htipdfoiju	2118	3049	570	
3651	gpsxcmwqsc	650	650	3651	
1458	ddacdwwirl	1496	6627	1458	
676	yneaxcgwxg	833	7071	676	
8742	likqcjlpvc	785	9770	8742	
2231	rcyemvfxae	1033	2080	2231	
1026	amzatnwhlz	2365	7817	1026	
4003	zctbriiatc	51	1149	4003	
8863	amvnivripb	2363	6348	8863	
9888	onqcbieume	2189	5525	9888	
7103	qwshrbcvls	2769	8352	7103	
8430	fabctyaujg	1792	6739	8430	
45	shcndcdbwi	2604	1867	45	
2361	dkxzypwylw	727	8979	2361	
9407	iojrljkbir	1150	1398	9407	
5548	gpdotznfpz	860	7360	5548	
7352	ibwzmiouyw	1171	9571	7352	
9589	hkfptnyehe	1931	4266	9589	
5792	gwasaickgc	2049	5292	5792	
9420	fxepusujyt	2539	5339	9420	
6392	pisrzfozwk	2858	6074	6392	
7901	kogcdndsmz	1395	2824	7901	
7388	ooudztgmlu	1991	6998	7388	
5397	gppiixtnhv	2295	2491	5397	
3560	wgmmjnvoxy	1697	8956	3560	
266	osuopsqtvz	1045	9459	266	
346	dviangcspb	1250	8337	346	
9293	zscpqgjqgf	2899	3459	9293	
8063	cdrskajalp	408	181	8063	
748	jjevhsacsi	1080	859	748	
5357	gcgrdiuvzc	1943	156	5357	
4540	lxhidlcheh	300	1421	4540	
520	bimrqctyzl	1753	376	520	
802	hyyhsgcdak	1733	2451	802	
1179	djqloknguv	243	7920	1179	
9294	fupikekpuj	775	1945	9294	
6262	ixjvqazals	1213	551	6262	
5567	ijhoxoqcdg	2526	7722	5567	
4334	difwttoiwl	2528	1151	4334	
1837	whgpnxebqm	2142	6611	1837	
8305	dbycmtefgf	2648	6896	8305	
9093	esjhblbxax	143	799	9093	
4678	tzxgdlafdw	53	9286	4678	
1329	bihfdryqpa	1992	6652	1329	
745	spurvfwlqu	989	1348	745	
6965	fwjlhmfdti	2545	8761	6965	
4374	minkftjhno	2005	7274	4374	
3807	hwmaawcpxg	274	8087	3807	
9031	guoxmalufi	2425	535	9031	
8941	kckdqsnixg	2289	1177	8941	
1246	hhmbfymoar	2329	5664	1246	
5615	cbrgeeqkcm	2920	9516	5615	
8911	zffxclpwhd	458	1267	8911	
4351	oullrshjze	1062	5449	4351	
6221	fpmtdxchow	2803	1200	6221	
3691	vjwoyzfwkd	1629	8570	3691	
1929	vpmabyylba	2670	1402	1929	
9081	uweavfggde	92	8284	9081	
4233	qajhemvgyh	102	953	4233	
2825	qzjrhpmjdw	900	1484	2825	
67	tybtuqmxkj	2249	8702	67	
2185	mwacwvkfes	916	3172	2185	
6032	sqprjgmysa	2181	1352	6032	
1423	zksycbvxuh	555	6970	1423	
8934	gvvuukenbl	180	7629	8934	
5233	htrnqjmahh	1530	5288	5233	
9352	olenpagpqx	2261	2794	9352	
8913	eiqlhspxfp	1722	1687	8913	
1359	mjgsoeccsj	1212	9522	1359	
7904	sipykxxdlj	1896	9131	7904	
8879	plvoiqnpfq	711	3096	8879	
2672	oaidicqvcf	2202	3339	2672	
2370	qcrqefbnrk	1848	610	2370	
2804	tlcmjgpnhf	2415	1022	2804	
9880	jezqbaiuxc	2638	8597	9880	
7725	vrvpkqqnld	1749	5717	7725	
415	neeatpzdao	2971	2559	415	
2710	qvwavehvqt	2580	9402	2710	
3700	bbitpzfumo	814	4157	3700	
738	cbskocnqml	522	621	738	
3643	atlhxkrdzw	1291	3679	3643	
6074	bxblmervzi	1658	9662	6074	
9005	gkfxkxmmee	892	9304	9005	
5332	ylsinrorqm	1083	2783	5332	
5181	ezpjmmgvwj	2089	7737	5181	
2252	uifdnyupdr	211	8171	2252	
9025	bmpnpyusju	2753	6399	9025	
2778	fdcwmwknjy	2442	9504	2778	
1207	yyxzjgasuy	659	7599	1207	
5232	pnyvjhtqly	1719	5082	5232	
419	llkpdazaso	463	8144	419	
9167	kkeooyklbr	2223	4805	9167	
6768	nlziwdmtcf	748	4857	6768	
1090	antujbjpck	2831	6331	1090	
2613	sjsmdxibrg	2360	4404	2613	
2106	okelrqsjhj	403	8829	2106	
641	jjdalzdhjo	1438	2819	641	
176	wynsltuyxs	299	4577	176	
4345	lwkxxksmkv	1572	8071	4345	
2302	ddnorlests	973	9473	2302	
5632	rvhekrsoiq	2264	2010	5632	
4757	jdupoguezl	1183	4729	4757	
8921	rvrejgvcps	2427	3603	8921	
2388	tprajdhbwg	61	5109	2388	
7015	vporceyuvg	1413	3941	7015	
3991	vxyxbjdgkg	1313	6727	3991	
6321	lvxbvsjdkk	2691	3952	6321	
6992	qvxzblcwuc	2852	5599	6992	
4751	fzprrpkraa	300	6753	4751	
4834	azmfneomcr	378	8269	4834	
8420	hxlzwflbdu	1497	8002	8420	
5371	klebsoybxx	1752	2216	5371	
8173	jecwtdcpwi	2117	5231	8173	
6568	khjadepcjv	1362	4397	6568	
96	xnahzsyyjc	1481	1746	96	
187	eakfmmivgc	583	7069	187	
9378	mkvlymbwxr	1287	9208	9378	
5395	bbfbgqzmam	2354	6365	5395	
9036	ruclkxdtut	1826	2864	9036	
