SCHEDULE.flno  SCHEDULE.aid  AIRCRAFTS.aid  AIRCRAFTS.aname  AIRCRAFTS.cruisingrange  
4185	2663	2663	nicaujnmee	181	
3518	506	506	uythxpehac	2444	
9420	3871	3871	zxfmxmemft	2487	
7258	6628	6628	zpnuapuawn	650	
2967	3262	3262	amdtdgchxz	2966	
8989	4687	4687	scgapcvwkd	1998	
9252	5893	5893	aezeahgljs	1418	
4558	5893	5893	aezeahgljs	1418	
9281	9719	9719	dypwiredac	718	
550	505	505	yskqtdgbmp	0	
8849	4645	4645	oqcswtpybu	2665	
2223	1441	1441	msxgklmatk	2851	
445	322	322	egnbngfvtt	329	
4448	1282	1282	igqzzjfdzs	1245	
7798	4372	4372	sztylwvnlg	950	
9559	8337	8337	alazmepdak	1217	
77	5867	5867	jupzjxpkha	1285	
9641	2412	2412	ajragltllc	2271	
96	3175	3175	akoubxhytx	1360	
523	9719	9719	dypwiredac	718	
4888	30	30	qythutzqwm	1463	
7769	4645	4645	oqcswtpybu	2665	
6353	8102	8102	yfxkihwtjh	796	
4579	8102	8102	yfxkihwtjh	796	
334	4687	4687	scgapcvwkd	1998	
695	2586	2586	btymvkhjsm	2863	
2488	4513	4513	znpsdebeaa	1595	
9340	1372	1372	zddmtrnhvr	1739	
121	505	505	yskqtdgbmp	0	
9887	4687	4687	scgapcvwkd	1998	
829	2663	2663	nicaujnmee	181	
2018	2412	2412	ajragltllc	2271	
4024	56	56	aklhcmmyui	2364	
881	7237	7237	wxueqgjevy	2949	
9715	6494	6494	xzqjjeieoe	1780	
9924	6628	6628	zpnuapuawn	650	
6097	3262	3262	amdtdgchxz	2966	
6090	5893	5893	aezeahgljs	1418	
4009	2057	2057	nfyyxazkeq	2127	
6707	7582	7582	uuoomjwhby	2949	
3215	6660	6660	uucaatcspo	1537	
7965	8842	8842	ogxwxdjcrl	2410	
3236	6270	6270	uozooufmbb	173	
9104	984	984	lcgzeqstow	2057	
2129	810	810	iyjwxgyjmy	504	
2220	5021	5021	gkaljatsit	658	
7581	6660	6660	uucaatcspo	1537	
5448	8514	8514	focjnphguq	2404	
9	810	810	iyjwxgyjmy	504	
1424	2485	2485	uswykevvmo	1456	
749	7952	7952	yhxethxkns	2264	
367	2762	2762	kglcxftzqc	2325	
9658	7209	7209	dciggmxxcj	2581	
3266	5379	5379	jdyejuvkcg	2752	
9003	1462	1462	hjfbuhqgqc	1428	
3891	8602	8602	ndhzkfdzmf	702	
9800	7952	7952	yhxethxkns	2264	
5070	1691	1691	tmfzickzjs	952	
1235	5260	5260	nktfamzwnm	228	
2253	2762	2762	kglcxftzqc	2325	
1405	2485	2485	uswykevvmo	1456	
4461	9016	9016	ndgjgnhcyn	2315	
4763	2621	2621	jlungrzlzy	2941	
3889	797	797	sulmewyesp	881	
4188	4448	4448	cavymcnwdz	1625	
9699	8602	8602	ndhzkfdzmf	702	
3742	3093	3093	iidhevyslt	467	
7366	984	984	lcgzeqstow	2057	
4973	5720	5720	retveaqjss	2053	
5394	8602	8602	ndhzkfdzmf	702	
3183	4448	4448	cavymcnwdz	1625	
3397	984	984	lcgzeqstow	2057	
8289	984	984	lcgzeqstow	2057	
6981	194	194	ypdjnpzosv	1450	
3197	1462	1462	hjfbuhqgqc	1428	
8604	5806	5806	rvhctagayr	1474	
980	4846	4846	xhviqpxlur	2585	
3654	4846	4846	xhviqpxlur	2585	
6010	2766	2766	fwlpmxvqfh	2416	
3241	810	810	iyjwxgyjmy	504	
94	6878	6878	rksaalblnn	1249	
2462	2485	2485	uswykevvmo	1456	
7239	2766	2766	fwlpmxvqfh	2416	
1214	8842	8842	ogxwxdjcrl	2410	
3217	1095	1095	zakwtsbmht	497	
4804	4903	4903	mqpldyswcg	2430	
2993	3366	3366	nlpqxjgzny	273	
752	810	810	iyjwxgyjmy	504	
1243	9992	9992	gagcgsjfsw	2461	
8345	9831	9831	wmiesiawzy	2448	
5767	302	302	hazarkvwkk	2965	
6338	4691	4691	jcfjpkavze	1570	
1410	9315	9315	iqtquwzegv	2342	
4707	9996	9996	sqtstjygqw	1974	
8706	1998	1998	wmnzjavkvj	829	
7502	9835	9835	wvtdsktkrx	1199	
8078	9541	9541	iihocafcgk	628	
351	233	233	vdmtqiafma	1718	
4653	8809	8809	znzevcgkky	900	
2659	233	233	vdmtqiafma	1718	
4509	4691	4691	jcfjpkavze	1570	
8494	7211	7211	xksfvitfru	2005	
441	5517	5517	grcqseswce	2243	
9743	3611	3611	nuqgmzslpl	2292	
4256	6289	6289	fmshqqoxpd	2173	
3881	4397	4397	jydnduixqr	1679	
4782	5852	5852	ephfvxuzzt	881	
1309	8680	8680	zjksgsrkeo	714	
8303	4888	4888	zefnixawse	893	
5328	9835	9835	wvtdsktkrx	1199	
2431	4953	4953	ewhyithddp	463	
9137	9996	9996	sqtstjygqw	1974	
9634	832	832	jajwmbopxu	1820	
9673	5626	5626	cvcscxtruh	2227	
1539	8809	8809	znzevcgkky	900	
1505	4785	4785	xysefzypss	2552	
6178	4691	4691	jcfjpkavze	1570	
483	8770	8770	tyajevwtcg	1156	
8377	9186	9186	sqtqclvblb	1482	
7559	9996	9996	sqtstjygqw	1974	
5671	7807	7807	katnikdrxx	2372	
3018	4511	4511	fechqlylzu	2252	
5962	6503	6503	rlpvheposm	233	
5771	4953	4953	ewhyithddp	463	
1553	8680	8680	zjksgsrkeo	714	
2402	4785	4785	xysefzypss	2552	
1059	4511	4511	fechqlylzu	2252	
4226	1336	1336	wojfpapjiz	2435	
9739	832	832	jajwmbopxu	1820	
7193	2060	2060	xkazrwfixg	1050	
8259	302	302	hazarkvwkk	2965	
8164	662	662	npdegxfnnx	2123	
6642	5852	5852	ephfvxuzzt	881	
6539	3866	3866	pdqsytydev	548	
1825	4397	4397	jydnduixqr	1679	
9258	662	662	npdegxfnnx	2123	
2420	8680	8680	zjksgsrkeo	714	
5822	4888	4888	zefnixawse	893	
5325	4691	4691	jcfjpkavze	1570	
1383	9534	9534	bcokcvdmrs	20	
3885	233	233	vdmtqiafma	1718	
1147	4953	4953	ewhyithddp	463	
3632	233	233	vdmtqiafma	1718	
9177	9020	9020	eqntleyjjd	1157	
531	979	979	pzctkwfuft	1747	
2935	2982	2982	syidryvnds	2711	
4025	9312	9312	danjlobmoa	231	
9436	2982	2982	syidryvnds	2711	
164	828	828	zgsfdnudrv	2439	
6256	4551	4551	knvaqmxeuf	470	
2221	5355	5355	nytjpmbknc	1805	
2360	3355	3355	saxxfpmuyh	1923	
9205	9118	9118	enshyqrppi	440	
9328	9665	9665	tckmqteoxy	2229	
6314	979	979	pzctkwfuft	1747	
2076	2862	2862	tsqhobaorc	734	
6955	8074	8074	oljoaekyxt	2274	
6299	2862	2862	tsqhobaorc	734	
4443	3355	3355	saxxfpmuyh	1923	
291	5355	5355	nytjpmbknc	1805	
5662	7283	7283	jgvwimujeh	2212	
6406	8103	8103	cmicllqsjb	2075	
3565	5343	5343	impumhueyx	907	
8010	828	828	zgsfdnudrv	2439	
8633	4551	4551	knvaqmxeuf	470	
7670	2812	2812	tvhmludzbm	1897	
9049	3030	3030	gdamggjfcl	2463	
1909	5982	5982	gxclgdcgxo	2371	
2006	8367	8367	gepztjrqqx	2175	
598	5355	5355	nytjpmbknc	1805	
6473	1285	1285	vdpgpdutpn	1104	
7263	2862	2862	tsqhobaorc	734	
6306	5982	5982	gxclgdcgxo	2371	
7803	9665	9665	tckmqteoxy	2229	
5470	7316	7316	njxvbnjesv	2522	
8669	3045	3045	xzmymywucg	2588	
2900	6271	6271	uuiyfwmsgc	1361	
7466	868	868	ylvegblsob	961	
5786	2862	2862	tsqhobaorc	734	
9098	8074	8074	oljoaekyxt	2274	
5609	8164	8164	ajonymeqwr	1024	
2580	828	828	zgsfdnudrv	2439	
1756	828	828	zgsfdnudrv	2439	
7270	7283	7283	jgvwimujeh	2212	
4003	5730	5730	djhxhubztb	105	
3592	9665	9665	tckmqteoxy	2229	
4652	5730	5730	djhxhubztb	105	
9389	3030	3030	gdamggjfcl	2463	
2092	9114	9114	wonertirde	1112	
9636	3992	3992	ljivhoupkn	1880	
1572	8445	8445	rckcykoyva	2566	
3375	9303	9303	spalxsrzmu	2503	
8593	3458	3458	irmugqexze	158	
9308	7752	7752	obumkowrba	412	
2320	6118	6118	tuinlntejn	601	
5330	3408	3408	zebsdvfnnz	1485	
301	2192	2192	ktxlikfqxu	1406	
1168	1360	1360	egrwqvswgl	1393	
8619	9528	9528	btfqzkvoir	2148	
1499	9011	9011	fmruxvswml	146	
9865	2614	2614	gmdsseagxt	833	
8103	3458	3458	irmugqexze	158	
9778	1360	1360	egrwqvswgl	1393	
296	7797	7797	qfdequshql	769	
8348	2192	2192	ktxlikfqxu	1406	
84	3393	3393	yediqrbekx	729	
1443	6118	6118	tuinlntejn	601	
2258	2777	2777	oigtitrxhy	1885	
7487	6448	6448	btuevvlblm	1312	
2348	8877	8877	xpvvaohmbr	827	
962	712	712	cgkseeolqa	685	
6679	1537	1537	fkglvbsome	2106	
8326	3393	3393	yediqrbekx	729	
6474	823	823	shpudwdrtr	1786	
6888	3393	3393	yediqrbekx	729	
2876	823	823	shpudwdrtr	1786	
3756	7797	7797	qfdequshql	769	
4276	8877	8877	xpvvaohmbr	827	
5724	3780	3780	hhrqjpkzti	347	
7174	3458	3458	irmugqexze	158	
4497	9615	9615	utxuuhbmkg	956	
3143	854	854	uiicdtrdjh	1963	
8818	9370	9370	sqxsfwaqgx	766	
2508	9528	9528	btfqzkvoir	2148	
1326	6798	6798	tnyrdwpwin	345	
7145	7797	7797	qfdequshql	769	
3749	2614	2614	gmdsseagxt	833	
6741	2777	2777	oigtitrxhy	1885	
3231	2281	2281	vsxjmadlxh	2287	
6341	9528	9528	btfqzkvoir	2148	
8268	6957	6957	syywovovuh	496	
6058	3780	3780	hhrqjpkzti	347	
931	8877	8877	xpvvaohmbr	827	
9978	4143	4143	qzfpigizqh	515	
9702	2777	2777	oigtitrxhy	1885	
7923	2614	2614	gmdsseagxt	833	
9836	3458	3458	irmugqexze	158	
12	7797	7797	qfdequshql	769	
5880	7920	7920	guqmwqceat	1722	
4259	4569	4569	dzlgslfekt	2010	
3300	6798	6798	tnyrdwpwin	345	
7489	8857	8857	lqhxoxowez	1938	
1935	854	854	uiicdtrdjh	1963	
2628	9151	9151	vrwhernaga	1540	
1466	5474	5474	tflqnjmetz	540	
4457	4390	4390	wtvdvmjiwp	2295	
3926	2843	2843	dkzalmavlp	1026	
5280	5582	5582	jqqajgrmog	1681	
8904	2832	2832	qtydiwhzec	2702	
7558	763	763	wqcryhhzvv	15	
4766	8342	8342	fpcnobpyje	465	
1926	9387	9387	etfeatiamp	2027	
1681	763	763	wqcryhhzvv	15	
509	1938	1938	eppmlpzxmr	964	
7815	3656	3656	liidxfucag	2636	
9782	1943	1943	ljmfwliwvu	2329	
890	8342	8342	fpcnobpyje	465	
8967	7201	7201	gxmnilcqpx	196	
4881	4390	4390	wtvdvmjiwp	2295	
